Date,Average Cases
2020-04-12,10864.098039215687
2020-04-13,11360.176470588236
2020-04-14,11890.196078431372
2020-04-15,12451.470588235294
2020-04-16,13066.803921568628
2020-04-17,13691.882352941177
2020-04-18,14327.921568627451
2020-04-19,14853.29411764706
2020-04-20,15347.43137254902
2020-04-21,15886.509803921568
2020-04-22,16443.37254901961
2020-04-23,17007.745098039217
2020-04-24,17719.529411764706
2020-04-25,18362.450980392157
2020-04-26,18902.901960784315
2020-04-27,19342.039215686276
2020-04-28,19819.960784313724
2020-04-29,20355.13725490196
2020-04-30,20931.529411764706
2020-05-01,21598.21568627451
2020-05-02,22164.803921568626
2020-05-03,22663.823529411766
2020-05-04,23101.07843137255
2020-05-05,23569.607843137255
2020-05-06,24044.176470588234
2020-05-07,24600.196078431374
2020-05-08,25125.235294117647
2020-05-09,25627.254901960783
2020-05-10,26013.21568627451
2020-05-11,26377.13725490196
2020-05-12,26801.62745098039
2020-05-13,27209.50980392157
2020-05-14,27744.21568627451
2020-05-15,28233.098039215685
2020-05-16,28722.254901960783
2020-05-17,29092.450980392157
2020-05-18,29513.764705882353
2020-05-19,29909.156862745098
2020-05-20,30364.529411764706
2020-05-21,30859.333333333332
2020-05-22,31323.50980392157
2020-05-23,31747.13725490196
2020-05-24,32149.960784313724
2020-05-25,32522.21568627451
2020-05-26,32885.86274509804
2020-05-27,33242.470588235294
2020-05-28,33683.39215686275
2020-05-29,34156.01960784314
2020-05-30,34628.07843137255
2020-05-31,35019.23529411765
2020-06-01,35426.03921568627
2020-06-02,35832.666666666664
2020-06-03,36217.13725490196
2020-06-04,36622.03921568627
2020-06-05,37207.529411764706
2020-06-06,37655.333333333336
2020-06-07,38009.17647058824
2020-06-08,38352.0
2020-06-09,38703.35294117647
2020-06-10,39111.78431372549
2020-06-11,39559.96078431373
2020-06-12,40059.07843137255
2020-06-13,40556.8431372549
2020-06-14,40937.450980392154
2020-06-15,41327.39215686275
2020-06-16,41790.98039215686
2020-06-17,42291.05882352941
2020-06-18,42833.21568627451
2020-06-19,43449.58823529412
2020-06-20,44081.94117647059
2020-06-21,44593.82352941176
2020-06-22,45201.13725490196
2020-06-23,45879.490196078434
2020-06-24,46552.72549019608
2020-06-25,47351.549019607846
2020-06-26,48237.686274509804
2020-06-27,49070.098039215685
2020-06-28,49829.35294117647
2020-06-29,50644.80392156863
2020-06-30,51518.27450980392
2020-07-01,52513.37254901961
2020-07-02,53563.05882352941
2020-07-03,54625.666666666664
2020-07-04,55511.27450980392
2020-07-05,56473.43137254902
2020-07-06,57390.117647058825
2020-07-07,58564.35294117647
2020-07-08,59712.58823529412
2020-07-09,60949.96078431373
2020-07-10,62250.78431372549
2020-07-11,63448.96078431373
2020-07-12,64600.23529411765
2020-07-13,65732.2156862745
